Nombre del producto,Precio
LAPTOP Core i7-13620H LENOVO IdeaPad Slim 5 16IRL8 16|512|16,"$ 705.00 ó S/ 2,643.50"
LAPTOP Core i7-13620H LENOVO LOQ 15IRH8 Gaming 16|512|15.6 GEFORCE RTX4050,"$ 1,215.00 ó S/ 4,556.00"
"LAPTOP Core i7-13650HX DELL Gaming G15 5530 16|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,620.00 ó S/ 6,075.00"
"LAPTOP Core i7-13700H GIGABYTE AERO 14 OLED BMF 16|S1TB|14"" 2.8K GEFORCE RTX 4050 6GB W11","$ 2,099.00 ó S/ 7,871.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 15 BKF 16|S1TB|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,899.00 ó S/ 7,121.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 15 BKF 8|512|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,840.00 ó S/ 6,900.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17 BKF 16GB|S1TB|17.3"" GEFORCE RTX 4060 8GB W11","$ 1,650.00 ó S/ 6,187.50"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17 BSF 16GB|S1TB|17.3"" GEFORCE RTX 4070 8GB W11","$ 1,905.00 ó S/ 7,143.50"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17H BXF 16GB/S2TB/17.3"" GEFORCE RTX 4080 12GB W11","$ 2,540.00 ó S/ 9,525.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17H BXF 16GB/S1TB/17.3"" GEFORCE RTX 4080 12GB","$ 2,350.00 ó S/ 8,812.50"
"LAPTOP Core i7-13700H MSI Creator M16 B13VE 16|S1TB|16"" GEFORCE RTX 4050 6GB W11PRO","$ 1,855.00 ó S/ 6,956.00"
"LAPTOP Core i7-13700H MSI Pulse 15 B13VGK 16|S1TB|15.6"" GEFORCE RTX 4070 8GB W11","$ 2,290.00 ó S/ 8,587.50"
"LAPTOP Core i7-13700H MSI Stealth 17 Studio A13VG 16|S1TB/17.3"" 2K GEFORCE RTX 4070 8GB W11","$ 2,640.00 ó S/ 9,900.00"
"LAPTOP Core i7-13700HX DELL Alienware M16 R1 16|S1TB|16"" GEFORCE RTX 4070 8GB W11","$ 3,099.00 ó S/ 11,621.00"
"LAPTOP Core i7-13700HX MSI Creator Z17 HX Studio A13V 32|S1TB|17"" 2K GEFORCE RTX 4070 8GB W11PRO Pantalla Táctil","$ 3,155.00 ó S/ 11,831.00"
"LAPTOP Ryzen 5 5600H ASUS Vivobook Pro14 OLED 8|512|14"" 2.8K GEFORCE RTX 3050 4GB W11","$ 865.00 ó S/ 3,243.50"
LAPTOP Core i7-1255U HP 250 G9 8GB|512|15.6,"$ 655.00 ó S/ 2,456.00"
LAPTOP Core i7-1255U LENOVO V15 G3 IAP 16|512|15,"$ 650.00 ó S/ 2,437.50"
"LAPTOP Core i7-1355U DELL Latitude 7440 Hybrid DUO 16|512|14"" W11PRO Pantalla Táctil","$ 1,895.00 ó S/ 7,106.00"
"LAPTOP Core i7-1355U HP 250 G10 8|512|15.6""","$ 715.00 ó S/ 2,681.00"
"LAPTOP Core i7-1355U HP Elite Dragonfly G4 DUO 16|S1TB|13.5"" W11PRO Pantalla Táctil","$ 2,530.00 ó S/ 9,487.50"
"LAPTOP Core i7-1355U HP Elite x360 1040 G10 DUO 16|S1TB|14"" W11PRO Pantalla Táctil","$ 2,370.00 ó S/ 8,887.50"
"LAPTOP WS Core i7-13700H DELL Precision 5680 16|S1TB|16"" QUADRO RTX A1000 6GB W11PRO","$ 3,360.00 ó S/ 12,600.00"
"LAPTOP WS Core i7-13700H MSI CreatorPro M16 B13VJ 32|S1TB|16"" QUADRO RTX 2000 8GB W11PRO","$ 2,330.00 ó S/ 8,737.50"
"LAPTOP WS Core i7-13700H MSI CreatorPro M16 B13VK 32|S2TB|16"" QUADRO RTX 3000 8GB W11PRO","$ 2,950.00 ó S/ 11,062.50"
"LAPTOP WS Core i7-13700HX HP ZBook Fury G10 32|S2TB/16"" QUADRO RTX A2000 8GB W11PRO","$ 2,910.00 ó S/ 10,912.50"
"LAPTOP WS Core i7-13700HX LENOVO ThinkPad P16 G2 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 3,425.00 ó S/ 12,843.50"
"LAPTOP Core i9-13900H ASUS Vivobook 16 X1605VA-MB195 16GB|S1TB|16""","$ 920.00 ó S/ 3,450.00"
"LAPTOP WS Core i9-12900HX LENOVO ThinkPad P16 G1 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 4,140.00 ó S/ 15,525.00"
"LAPTOP WS Core i9-13900H HP ZBook Power G10 16|S1TB/15.6"" QUADRO RTX A2000 8GB W11PRO","$ 3,160.00 ó S/ 11,850.00"
"LAPTOP WS Core i9-13950HX MSI CreatorPro Z16 HX Studio B13VKTO 64|S2TB|16"" QUADRO RTX 3000 8GB W11PRO Pantalla Táctil","$ 4,000.00 ó S/ 15,000.00"
"LAPTOP WS Core i9-13950HX MSI CreatorPro Z17 HX Studio A13VKT 64|S2TB|17"" QUADRO RTX 3000 8GB W11PRO Pantalla Tactil","$ 4,250.00 ó S/ 15,937.50"
